Species,Minimum training presence area,Minimum training presence test omission
EBOV_0,0.0557,0
EBOV_1,0.0465,1
EBOV_2,0.0552,0
EBOV_3,0.0532,0
EBOV_4,0.0573,0
EBOV_5,0.0521,0
EBOV_6,0.051,0
EBOV_7,0.055,0
EBOV_8,0.0559,0
EBOV_9,0.0538,0
EBOV_10,0.0561,0
EBOV_11,0.0527,0
EBOV_12,0.0555,0
EBOV_13,0.0479,1
EBOV_14,0.0582,0
EBOV_15,0.0541,0
EBOV_16,0.0564,0
EBOV_17,0.0543,0
EBOV_18,0.0588,1
EBOV_19,0.0571,0
,,
SUDV_0,0.0657,1
SUDV_1,0.069,0
SUDV_2,0.0673,1
SUDV_3,0.0578,0
SUDV_4,0.0534,0
SUDV_5,0.053,0